"应用id","首页推荐版块[推荐]","首页推荐版块[热门]","状态","排序","是否作为首页轮播[大图轮播]","是否作为首页轮播[中图轮播]","分类[图表]","分类[数据处理]","分类[表单处理]","分类[其他]","分类[crm]","分类[仓储]","分类[便捷自动化]","分类[特定条件]","首页轮播（大图 1800*600）","首页轮播（中图 454*240）","允许展示的分组","应用名","记录编号"
"26","1","1","已上架","98","1","1","1",,,,,,,,"https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/13/19/large/13%E5%8F%8C%E5%8D%81%E4%B8%80.png?v=20211123064532E3094923495E483D8BD433D02DB0EE31148","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/13/19/mid/13%E5%8F%8C%E5%8D%81%E4%B8%80.png?v=20211027053523E0DA43829FCE4F888AAA9BD7F5124D5C044","全部","双十一销量实时统计图表","27"
"25","1","1","已上架","",,"1","1",,,,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/14/20/mid/14%E7%94%98%E7%89%B9%E5%9B%BE%E6%9F%A5%E7%9C%8B%E9%A1%B9%E7%9B%AE%E8%BF%9B%E5%BA%A6.png?v=2021111210252009819BEE86764946B32E03DFB03310F3128","全部","甘特图查看项目进度","26"
"23","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/17/21/mid/17%E9%80%89%E6%8B%A9%E6%98%AF%E5%90%A6%E4%B8%BA%E5%8F%AF%E7%BC%96%E8%BE%91%E5%AD%97%E6%AE%B5.png?v=20211111091422CE3978D0402F46469BE1D8C777A1B3B6359","全部","选择是否为可编辑字段","25"
"17","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/24/22/mid/24%E6%A0%B9%E6%8D%AE%E4%B8%8D%E5%90%8C%E7%9A%84%E5%9B%9E%E7%AD%94%E5%88%87%E6%8D%A2%E7%BB%84%E5%90%88%E7%9A%84%E5%BC%80%E9%97%AD.jpg?v=202111110954099487B07982B64E228E7C06E3803E59C7285","全部","切换组合的开关","24"
"22","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/19/23/mid/19%E7%BB%99%E8%A1%A8%E6%A0%BC%E7%BC%96%E5%8F%B7.jpg?v=20211111093715A585189ACED04AE58E44B3048BF6B2F5176","全部","表格自动编号","23"
"16","1","1","已上架","",,"1","1",,,,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/25/24/mid/25%E4%BD%BF%E7%94%A8Chart.js%E6%9D%A5%E6%98%BE%E7%A4%BA%E9%9B%B7%E8%BE%BE%E5%9B%BE.png?v=202111120824269982A79061F143688DACE91F3B88DFFB165","全部","显示雷达图","22"
"6","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/39/25/mid/39%E5%BF%85%E9%A1%BB%E6%9C%89%E6%89%80%E9%80%89%E6%8B%A9%E7%9A%84%E5%8D%95%E9%80%89%E6%A1%86.png?v=20211112101440699E7DF6A38C46909890E56D0276EDB4162","全部","必须有所选择的单选框","21"
"19","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/22/26/mid/22%E4%BB%85%E5%85%81%E8%AE%B8%E9%80%89%E6%8B%A9%E4%B8%80%E4%B8%AA%E7%94%A8%E6%88%B7.jpg?v=2021111109560023CBAF97754C4359B56B8A27A8A6580D224","全部","仅允许选择一个用户","20"
"20","1","1","已上架","",,"1",,"1",,,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/21/27/mid/21%E7%89%B9%E5%AE%9A%E6%9D%A1%E4%BB%B6%E4%B8%8B%E5%8F%96%E6%B6%88%E5%88%A0%E9%99%A4%E8%AE%B0%E5%BD%95.png?v=20211111070229B6E83A9EAED64E80B71B88622D0AC971062","全部","特定条件下取消删除记录","19"
"7","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/37/28/mid/37%E5%B0%86%E8%87%AA%E5%B7%B1%E6%B7%BB%E5%8A%A0%E5%88%B0%E6%8B%85%E5%BD%93%E8%80%85%E6%A0%8F.png?v=20211112085322B0FB300C1B0E46A0834AF18682F3F25B144","全部","将自己添加到担当者栏","18"
